,ticks
1234,IVZ
1235,IQI
1236,VVR
1237,VTN
1238,VGM
1239,IIM
1240,IRET
1241,NVTA
1242,INVH
1243,IO
1244,IQV
1245,IRM
1246,IRS
1247,STAR          
1248,ITCB
1249,ITUB
1250,ITT
1251,IVH
1252,JPM
1253,JAX
1254,JILL
1255,SJM
1256,JBL
1257,J
1258,JHX
1259,JHG
1260,JOF
1261,JWS
1262,JBGS
1263,JEF
1264,JELD
1265,JCAP
1266,JT
1267,JKS
1268,JMP
1269,JBT
1270,BTO
1271,HEQ
1272,JHS
1273,JHI
1274,HPF
1275,HPI
1276,HPS
1277,PDT
1278,HTD
1279,HTY
1280,JNJ
1281,JCI
1282,JLL
1283,JMIA
1284,JIH
1285,JNPR
1286,JP
1287,JE
1288,LRN
1289,KAI
1290,KDMN
1291,KAMN
1292,KSU
1293,KAR
1294,KMF
1295,KYN
1296,KB
1297,KBH
1298,KBR
1299,K
1300,KMPR
1301,KMT
1302,KW
1303,KEN
1304,KDP
1305,KEY
1306,KEYS
1307,KRC
1308,KRP
1309,KMB
1310,KIM
1311,KMI
1312,KFS
1313,KGC
1314,KEX
1315,KL
1316,KRG
1317,KKR
1318,KIO
1319,KREF
1320,KNX
1321,KNL
1322,KNOP
1323,KN
1324,KSS
1325,PHG
1326,KTB
1327,KOP
1328,KEP
1329,KF
1330,KFY
1331,KOS
1332,KRA
1333,KR
1334,KRO
1335,KT
1336,LB
1337,SCX
1338,LHX
1339,LH
1340,LADR
1341,LAIX
1342,LW
1343,LCI
1344,LPI
1345,LVS
1346,LGI
1347,LAZ
1348,LZB
1349,LCII
1350,LEAF
1351,LEA
1352,LEE
1353,LGC
1354,LMHA
1355,LMHB
1356,LEG
1357,JBK
1358,KTH
1359,KTN
1360,LDOS
1361,LEJU
1362,LMND
1363,LC
1364,LEN
1365,LII
1366,LEVI
1367,LXP
1368,LPL
1369,DFNS
1370,USA
1371,ASG
1372,LBRT
1373,LSI
1374,LITB
1375,LNC
1376,LIN
1377,LNN
1378,LN
1379,LINX
1380,LAD
1381,LAC
1382,LYV
1383,LOAK
1384,LTHM
1385,RAMP
1386,LYG
1387,SCD
1388,LMT
1389,L
1390,LOMA
1391,LGVW
1392,LPX
1393,LOW
1394,LXU
1395,LTC
1396,LUB
1397,LL
1398,LXFR
1399,LDL
1400,LYB
1401,MTB
1402,MDC
1403,MHO
1404,MAC
1405,CLI
1406,MFD
1407,MGU
1408,MIC
1409,BMA
1410,M
1411,MCN
1412,MSGE
1413,MSGS
1414,MMP
1415,MGA
1416,MX
1417,MGY
1418,MHLA
1419,MHNC
1420,MAIN
1421,MMD
1422,MNK
1423,MANU
1424,MTW
1425,MN
1426,MAN
1427,MFC
1428,MRO
1429,MPC
1430,MMI
1431,MCS
1432,MPX
1433,HZO
1434,MKL
1435,VAC
1436,MMC
1437,MLM
1438,MAS
1439,DOOR
1440,MTZ
1441,MA
1442,MTDR
1443,MTRN
1444,MATX
1445,MLP
1446,MAXR
1447,MMS
1448,MXL
1449,MEC
1450,MBI
1451,MKC
1452,MCD
1453,MUX
1454,MCK
1455,MDU
1456,MTL
1457,MDLA
1458,MPW
1459,MED
1460,MCC
1461,MCV
1462,MCX
1463,MDLQ
1464,MDLX
1465,MDLY
1466,MD
1467,MDT
1468,MFAC
1469,MRK
1470,MCY
1471,MDP
1472,MTH
1473,MTOR
1474,MTR
1475,MSB
1476,MEI
1477,MET
1478,MCB
1479,MTD
1480,MXE
1481,MXF
1482,MFA
1483,MFO
1484,MCR
1485,MGF
1486,MIN
1487,MMT
1488,MFM
1489,MFV
1490,MTG
1491,MGP
1492,MGM
1493,MFGP
1494,MAA
1495,AMPY
1496,MLR
1497,HIE
1498,MTX
1499,MG
1500,MUFG
1501,MIXT
1502,MFG
1503,MBT
1504,MODN
1505,MOD
1506,MC
1507,MOGU
1508,MHK
1509,MOH
1510,TAP
1511,MNR
1512,MR
1513,MEG
1514,MCO
1515,MS
1516,CAF
1517,MSD
1518,EDD
1519,IIF
1520,MOS
1521,MSI
1522,MOV
1523,MPLX
1524,MRC
1525,MSA
1526,MSM
1527,MSCI
1528,MSGN
1529,MLI
1530,MWA
1531,MVF
1532,MZA
1533,MUR
1534,MUSA
1535,MVO
1536,MVC
1537,MVCD
1538,MYE
1539,MYOV
1540,NBR
1541,NC
1542,NTP
1543,NTEST
1544,NBHC
1545,NFG
1546,NGG
1547,NHI
1548,NOV
1549,NPK
1550,NNN
1551,NRUC
1552,SID
1553,NSA
1554,NTCO
1555,NGS
1556,NGVC
1557,NRP
1558,NTZ
1559,NWG
1560,NLS
1561,NVGS
1562,NNA
1563,NM
1564,NMM
1565,NAV
1566,NCR
1567,NP
1568,NNI
1569,NPTN
1570,NSCO
1571,NVRO
1572,HYB
1573,NFH
1574,GF
1575,NWHM
1576,IRL
1577,NMFC
1578,NMFX
1579,EDU
1580,NEWR
1581,NRZ
1582,SNR
1583,NYCB
1584,NYT
1585,NJR
1586,NEU
1587,NEM
1588,NR
1589,NEXA
1590,NREF
1591,NXRT
1592,NHF
1593,NEP
1594,NEE
1595,NEX
1596,NGL
1597,NLSN
1598,NKE
1599,NINE
1600,NIO
1601,NI
1602,NL
1603,NOAH
1604,NOK
1605,NOMD
1606,NMR
1607,OSB
1608,NAT
1609,JWN
1610,NSC
1611,NOA
1612,NRT
1613,NOC
1614,NWN
1615,NWE
1616,NCLH
1617,NVS
1618,NVO
1619,DNOW
1620,NRG
1621,NUS
1622,NUE
1623,NS
1624,NSS
1625,NTR
1626,NVG
1627,NUV
1628,NUW
1629,NEA
1630,NAZ
1631,NKX
1632,NCB
1633,NCA
1634,NAC
1635,JCE
1636,JCO
1637,JQC
1638,JDD
1639,DIAX
1640,JEMD
1641,NEV
1642,JFR
1643,JRO
1644,NKG
1645,JGH
1646,JHY
1647,JHAA
1648,JHB
1649,NXC
1650,NXN
1651,NID
1652,NMY
1653,NMT
1654,NUM
1655,NMS
1656,NOM
1657,JLS
1658,JMM
1659,NHA
1660,NZF
1661,NMCO
1662,NMZ
1663,NMI
1664,NJV
1665,NXJ
1666,NRK
1667,NYV
1668,NNY
1669,NAN
1670,NUO
1671,NPN
1672,NQP
1673,JPC
1674,JPS
1675,JPT
1676,JPI
1677,NAD
1678,JRI
1679,JRS
1680,BXMX
1681,SPXX
1682,NIM
1683,NXP
1684,NXQ
1685,NXR
1686,NSL
1687,JSD
1688,NBB
1689,JTD
1690,JTA
1691,NPV
1692,NIQ
1693,NVT
1694,NVR
1695,CTEST
1696,OAC
1697,OXY
1698,OII
1699,OCN
1700,OFG
1701,OGE
1702,OI
1703,OIS
1704,ODC
1705,ORI
1706,OLN
1707,OHI
1708,OMC
1709,ONDK
1710,OGS
1711,OLP
1712,OCFT
1713,OMF
1714,OKE
1715,ONE
1716,ONTO
1717,OOMA
1718,OPY
1719,ORCL
1720,ORAN
1721,ORC
1722,OEC
1723,ORN
1724,IX
1725,ORA
1726,OSK
1727,OR
1728,SFTW
1729,OTIS
1730,OUT
1731,OSG
1732,OVV
1733,OMI
1734,OC
1735,ORCC
1736,OXM
1737,ROYT
1738,PACD
1739,PCG
1740,PCGU
1741,PKG
1742,PD
1743,PAGS
1744,PANW
1745,PAM
1746,PHX
1747,PARR
1748,PAR
1749,PGRE
1750,PKE
1751,PK
1752,PH
1753,PE
1754,PSN
1755,PRTY
1756,PAYC
1757,PBF
1758,PBFX
1759,BTU
1760,PSO
1761,PEB
1762,PBA
1763,PEI
1764,PFSI
1765,PMT
1766,PAG
1767,PNR
1768,PEN
1769,PFGC
1770,PKI
1771,PBT
1772,PVL
1773,PRT
1774,PRGO
1775,PRSP
1776,PTR
1777,PBR
1778,PFE
1779,GHY
1780,ISD
1781,PGTI
1782,PM
1783,PSX
1784,PSXP
1785,FENG
1786,DNK
1787,PHR
1788,DOC
1789,PDM
1790,PCQ
1791,PCK
1792,PZC
1793,PCM
1794,PTY
1795,PCN
1796,PCI
1797,PDI
1798,NRGX
1799,PGP
1800,PHK
1801,PKO
1802,PFL
1803,PFN
1804,PMF
1805,PML
1806,PMX
1807,PNF
1808,PNI
1809,PYN
1810,RCS
1811,PING
1812,PNW
1813,PINS
1814,PHD
1815,PHT
1816,MAV
1817,MHI
1818,PXD
1819,PIPR
1820,PBI
1821,PIC
1822,PJT
1823,PAA
1824,PAGP
1825,PLNT
1826,PLT
1827,AGS
1828,PHI
1829,PLYM
1830,PNC
1831,PNM
1832,PII
1833,POR
1834,PKX
1835,POST
1836,PSTL
1837,PPG
1838,PPX
1839,PPL
1840,PYS
1841,PYT
1842,PQG
1843,PDS
1844,APTS
1845,PBH
1846,PVG
1847,PRI
1848,PRMW
1849,PGZ
1850,PRA
1851,PG
1852,PGR
1853,PLD
1854,PUMP
1855,PRO
1856,PROS
1857,PBB
1858,PBC
1859,PBY
1860,PB
1861,PRLB
1862,PFS
1863,PJH
1864,PRH
1865,PRS
1866,PRU
1867,PUK
1868,PSB
1869,TLK
1870,PEG
1871,PSA
1872,PHM
1873,PSTG
1874,PMM
1875,PIM
1876,PMO
1877,PPT
1878,NEW
1879,PVH
1880,PZN
1881,QTWO
1882,QEP
1883,QGEN
1884,QTS
1885,QUAD
1886,KWR
1887,NX
1888,PWR
1889,QD
1890,DGX
1891,QUOT
1892,QVCC
1893,QVCD
1894,CTAA
1895,CTBB
1896,CTDD
1897,CTV
1898,CTY
1899,CTZ
1900,RRD
1901,RMED
1902,RDN
1903,RFL
1904,RL
